Texts,Label
ใช้ model y อยู่ ไปลองขับมาแล้วครับ  ไม่อยากบอกว่า ขับดีกว่า55 ถูกกว่าบานเลย,"[[""รถ"", ""pos"", ""ขับดีกว่า model y""],[""รถ"", ""pos"", ""ถูกกว่า model y""]]"
ด้านท้ายดูตลกดีครับ,"[[""ด้านท้าย"", ""neg"", ""ตลกดี""]]"
ดูดีพยายามหรู แต่ดูแล้วมันไม่เนียนตา การออกแบบภายในขัดตาไปหมด,"[[""การออกแบบภายใน"", ""neg"", [""พยายามหรู"", ""ไม่เนียนตา"", ""ขัดตา""]]]"
ตัวจริงวัสดุต่างๆยังห่างไกลคำว่าหรู ใครไม่เชื่อแนะนำไปสัมผัสกับมือนะ,"[[""วัสดุ"", ""neg"", ""ห่างไกลคำว่าหรู""]]"
ตัวรถดูใหญ่ แต่พอไปนั่งข้าวในเเคบกว่าที่คิดเลยครับ ที่นั่งตอนหลังเสาหลังคามันลาดลงมา ติดตรงข้างหัว ทำให้ บังวิวรอบๆข้างประมาณนึง หลังคาแก้วเเเม่งร้อนกลางแดด ถ้าเทียบกับ แอคคอร์ใหม่ แอคคอดร์ นั่งสบายกว่า กว้างกว่า โปร่งกว่า ชัดๆเลยครับ เเต่ความหรู ความเเพรวพราว ของออฟชั่น ผมว่า 07 ชนะนิดนึงไม่ได้ทิ้งห่าง,"[[""ตัวรถ"", ""pos"", ""ใหญ่""],[""ที่นั่ง"", ""neg"", ""แคบกว่าที่คิด""],[""ที่นั่งตอนหลัง"", ""neg"", [""ติดตรงข้างหัว"",""บังวิวรอบๆข้าง""]],[""หลังคาแก้ว"", ""neg"", ""ร้อนกลางแดด""],[""แอคคอร์ใหม่"", ""pos"", [""นั่งสบายกว่า"", ""กว้างกว่า"", ""โปร่งกว่า""]],[""ออฟชั่น"", ""pos"", [""หรู"", ""แพรวพราว""]]]"
ตามสเปคของตัวนี้รับการชาร์จไฟได้แค่80 kw ถือว่าแย่สำหรับรถไฟฟ้ายุคนี้ในขณะที่เทคโนโลยีตอนนี้ ต่ำ ๆ ก็ต้องรับไฟที่ 150 kw ขึ้นไป,"[[""สเปคการชาร์จไฟ"", ""neg"", ""แย่""]]"
ติอย่างเดียวจอเล็กถ้าจอเท่าBYDราคานี้ให้เป็นเบอร์1,"[[""จอ"", ""neg"", ""เล็ก""]]"
แต่สำหรับคนที่สูงกว่า 1.50 เมตรไม่สามารถนั่งข้างหลังได้เพราะว่าหลังคาเตี้ยเกินไปแล้วกระจกซันรูฟจะทำให้หัวไหม้แน่ครับ,"[[""พื้นที่ห้องโดยสาร"", ""neg"", ""คนที่สูงกว่า 1.50 เมตรไม่สามารถนั่งข้างหลัง""], [""หลังคา"", ""neg"", ""เตี้ยเกินไป""], [""กระจกซันรูฟ"", ""neg"", ""ทำให้หัวไหม้แน่""]]"
ถ้าเปิดราคาขายแบบ tank ให้รถน่าใช้ อย่างไร ก็จอดอยู่ศูนย์ฯอยู่ดี,"[[""ราคาขายแบบ tank"", ""neg"", ""จอดอยู่ศูนย์ฯ""]]"
ทรงนี้ต้องชน seal 07 ถึงจะถูก ความสวยไม่ต้องพูด แมวน้อย หงอยเลย,"[[""ทรงนี้"", ""pos"", [""สวย"", ""แมวน้อยหงอย""]]]"
ทรงรุ่นนี้ตลกมาก เห็นที่ไร นึกว่าดูข่าวพระราชสำนัก ฟิวรถส่งเสด็จมาก,"[[""ทรง"", ""neg"", [""ตลก"", ""ฟิวรถส่งเสด็จ""]]]"
ที่วางเท้าคนนั่งหลังสูง นั่งหลังไม่ดีเลย,"[[""ที่วางเท้าคนนั่งหลัง"", ""neg"", ""สูง""], [""นั่งหลัง"", ""neg"", ""ไม่ดี""]]"
น่าจะมีรุ่นที่ใช้หลังคาธรรมดาไม่ใช่กระจกsunroof ซึ่งน่าจะเหมาะกับไทยมากกว่านะ,"[[""หลังคากระจกsunroof"",neg"", ""ไม่เหมาะกับไทย""]]"
"น่าตาน่ารักน่าคบ ความแรงไม่ค่อยน่าคบ เลย5555
ภายในสวยครับ เรียบๆดีสวย","[[""น่าตา"", ""pos"", ""น่ารักน่าคบ""], [""ความแรง"", ""neg"", ""ไม่ค่อยน่าคบ""], [""ภายใน"", ""pos"", [""สวย"", ""เรียบๆ""]]"
นี่คือความคิดของผมเองนะครับ  จีนชอบทำอะไรหลอกตาเอาความสวยงามภายนอกภายในก่อนส่วนเครื่อแบตเตอรี่ต์ยังไม่มาตรฐานพอ  สำหรับระดับคุณภาพการผลิต ให้เลือกผมชอบแบรนด์ญี่ปุ่นและแบรนด์รถยุโรปมากกว่าครับ  ผมเคยตกกับดักนี้มาแล้วครับทำให้ผมระวังตัวก่อนที่จะซื้ออะไรที่เป็นแบรนด์ของจีน,"[[""แบรนด์ของจีน"", ""neg"", [""หลอกตา"", ""ระวังตัว""]], [""ภายนอก"",""pos"",""สวยงาม""], [""ภายใน"",""pos"",""สวยงาม""],  [""เครื่องแบตเตอรี่"", ""neg"", ""ไม่มาตรฐาน""], [""คุณภาพการผลิต"", ""neg"", ""ไม่พอ""], [""แบรนด์ญี่ปุ่น"", ""pos"", ""ชอบ""], [""แบรนด์รถยุโรป"", ""pos"", ""ชอบ""]]"
ไฟหน้าดูเหมือน Mini Cooper ดี คล้ายๆกันดี,"[[""ไฟหน้า"", ""pos"", ""ดูเหมือน Mini Cooper ดี""]]"
ภายนอกให้ seal ภายในให้ 07,"[[""ภายนอก seal"", ""pos"", ""ให้คะแนน""],[""ภายใน 07"", ""pos"", ""ให้คะแนน""]]]"
แม็กสวย ภายในสวยล้ำ แต่นั่นล่ะ ทั้งรุ่นนี้และรุ่น seal เข้าไปนั่งเพดานต่ำ รายละเอียดข้อเสียยิบย่อย เยอะเหมือนกันนะเรา,"[[""แม็ก"", ""pos"", ""สวย""],[""ภายใน"", ""pos"", ""สวยล้ำ""],[""ทั้งรุ่นนี้และรุ่น seal"", ""neg"", [""เพดานต่ำ"",""รายละเอียดข้อเสียยิบย่อยเยอะ""]]]"
ไม่ชอบหลังคากระจกครับ หลังคาปรกติดีกว่า,"[[""หลังคากระจก"", ""neg"", ""ไม่ชอบ""], [""หลังคาปรกติ"", ""pos"", ""ดีกว่า""]]"
รถจากค่าย GWM ยังทำราคาไม่น่าสนใจเท่าไหร่ รถหน้าหวาน พอมาอยู่ในรถไซส์ใหญ่ ส่วนตัวไม่ชอบเลย แต่ต้องชื่นชมเรื่องการทำปุ่มปรับแอร์มาให้แบบไม่ต้องพึ่งจอกลาง,"[[""ราคารถจากค่าย GWM"", ""neg"", ""ไม่น่าสนใจ""], [""รถหน้าหวานในรถไซส์ใหญ่"", ""neg"", ""ไม่ชอบ""], [""การทำปุ่มปรับแอร์"", ""pos"", ""ชื่นชม""]]"
ราคานี้ ดีไซน์ด้านใน ควรให้ได้มากกว่านี้,"[[""ราคานี้"", ""neg"", ""ควรให้ได้มากกว่านี้""],[""ดีไซน์ด้านใน"", ""neg"", ""ควรให้ได้มากกว่านี้""]]"
รูปลักษณ์มองผ่านๆเหมือนสวย พอมาดูจริงๆไม่ค่อย ที่ไม่สวยสุดคือลายล้อแม็กซ์,"[[""รูปลักษณ์"", ""neg"", ""ไม่ค่อยสวย""], [""ลายล้อแม็กซ์"", ""neg"", ""ไม่สวยสุด""]]"
"เรื่องราคาไว้ใจ gwm 
เปิดราคาแพงทุกรุ่น","[[""ราคา gwm"", ""neg"", ""แพงทุกรุ่น""]]"
ล้อไม่สวยอ่า,"[[""ล้อ"", ""neg"", ""ไม่สวย""]]"
สเปครับ DC ได้แค่ 80 KW หน่อมแน้มเกิ้นนน,"[[""สเปครับ DC"", ""neg"", ""หน่อมแน้ม""]]"
สวย ชอบตรงหลังคานี่ล่ะ แต่ล้อเฉยๆนะ,"[[""ดีไซน์"", ""pos"", ""สวย""], [""หลังคา"", ""pos"", ""ชอบ""], [""ล้อ"", ""neg"", ""เฉยๆ""]]"
หน้าสวย-ภายในสวย-ตูดไม่สวย,"[[""หน้า"", ""pos"", ""สวย""], [""ภายใน"", ""pos"", ""สวย""], [""ตูด"", ""neg"", ""ไม่สวย""]]"
เห็นด้วยเรื่องหลังคาที่เป็นกระจกค่ะ ไม่เหมาะกับบ้านเรามากๆ,"[[""หลังคากระจก"", ""neg"", ""ไม่เหมาะกับบ้านเรามากๆ""]]"
อยากได้ แต่ยังไม่กล้าเล่น รถไฟฟ้ายังถือว่าใหม่อยู่ คนไทยยังไม่มั่นใจศูนย์บริการหลังการขาย อะไหล่ ระยะยาวถ้าเสียขึ้นมา จะอะไรยังไง อู่ทั่วไปช่อมได้ไหม...ฯลฯ,"[[""รถ"", ""pos"", ""อยากได้""], [""รถไฟฟ้า"", ""neg"", [""ยังไม่กล้าเล่น"", ""ใหม่""]], [""ศูนย์บริการหลังการขาย"", ""neg"", ""ไม่มั่นใจ""], [""อะไหล่"", ""neg"", ""ไม่มั่นใจ""], [""อู่ทั่วไป"", ""neg"", ""ไม่มั่นใจ""]]"
อุบัติเหตุเยอะขึ้นแน่นอน ขนาดเบรค8พอร์ตซุปเปอร์คาร์ยังเอาไม่อยู่ รถบ้านอัตราเร่งซุปเปอร์คาร์ ชิปหายแน่นอน,"[[""เบรค"", ""neg"", ""รถบ้าน""], [""อัตราเร่ง"", ""neg"", ""ซุปเปอร์คาร์""], [""การใช้งาน"", ""neg"", ""ชิปหายแน่นอน""]]]"
เคยใช้ Peugeot 306 เมื่อหลายๆปีก่อน แล้วชอบมาก ขับดีมากๆ  สมรรถนะของรถยุโรปเนี่ยดีมากๆ แต่ศูนย์บริการ(ยิ่งสมัยนั้น) มีน้อย+ ราคา ค่อนข้างแพง แค่นั้น,"[[""Peugeot 306"", ""pos"", [""ชอบ"", "" ขับดี""]], [""สมรรถนะของรถยุโรป"", ""pos"", ""ดี""], [""ศูนย์บริการ"", ""neg"", ""มีน้อย""], [""ราคา"", ""neg"", ""แพง""]]"
"รถหล่อๆ มันต้องไฟท้าย 3 ขีด ขับ 2008 มาเกือบ 2 ปี ยังไม่เบื่อรูปโฉมเลย แต่งานประกอบมาเลเซียยังต้องปรับปรุง 
ศูนย์บริการหลักน้อย ไม่ค่อยตามเคสซ่อม/เคลม ต้องวิ่งเข้าหาเองตลอด ควรปรับปรุงหากจะสร้างความเชื่อมั่นให้ลูกค้าเก่า/ใหม่","[[""ไฟท้าย 3 ขีด"", ""pos"", ""หล่อๆ""], [""รูปโฉม 2008"", ""pos"", ""ไม่เบื่อ""], [""งานประกอบมาเลเซีย"", ""neg"", ""ปรับปรุง""], [""ศูนย์บริการ"", ""neg"", [""น้อย"", ""ไม่ค่อยตามเคสซ่อม/เคลม"", ""ควรปรับปรุง""]]]"
197 แรงม้าา  ถือว่าสูงมากกกกกก   ถึงมันจะทำงานรวมกันก็เถอะ เหยียบเป็นพุ่ง,"[[""แรงม้า"", ""pos"", [""สูงมาก"", ""พุ่ง""]]]"
BMW220i 192แรงม้า ตัวนี้แรงกว่าอี๊ก อยากลองขับเลย,"[[""แรงม้า"", ""pos"", ""แรงกว่า BMW220i""], [""ตัวนี้"", ""pos"", ""อยากลองขับ""]]"
Hybridดีกว่า ขี้เกียจรอ และจองที่ชาร์จผ่านแอพ,"[[""Hybrid"", ""pos"", [""ดีกว่า"", ""ไม่ต้องรอ"", ""ไม่ต้องจองที่ชาร์จผ่านแอพ""]]]"
MG มาไกลมาก ก้าวข้ามผ่านทุกคำสพประมาทได้หมดแล้ว,"[[""MG"", ""pos"", [""มาไกลมาก"", ""ก้าวข้ามผ่านทุกคำสพประมาท""]]]"
MGนี่ เหมาะว่ารถครอบครัวได้อยู่นะผมว่า เงียบๆ สวยหรู ประหยัดอีก,"[[""MG"", ""pos"", [""เหมาะว่ารถครอบครัว"", ""เงียบๆ"", ""สวยหรู"", ""ประหยัด""]]]"
mgยังออกแบบรถไม่ค่อยสวย,"[[""การออกแบบรถ mg"", ""neg"", ""ไม่ค่อยสวย""]]"
ขวัญใจรถสไลด์เลยMG,"[[""MG"", ""neg"", ""ขวัญใจรถสไลด์""]]"
ขับทางยาวนี้ยังปรามมาสด้า2ดีเซลไม่ได้เลย26โลลิตรราคาดีเซลด้วยนะครับ แต่ราคาได้กว่า,"[[""การขับขี่ทางยาว"", ""neg"", ""ปรามมาสด้า2ดีเซลไม่ได้""], [""ราคา"", ""pos"", ""ได้กว่า""]]"
ขายในไทยไม่มีระบบ Blind Spot ซะงั้น,"[[""ระบบ Blind Spot"", ""neg"", ""ไม่มี""]]"
คุณภาพวัสดุเน่า ใช้ไม่กี่ปีเพดานหลุด เบาะหลุด หน้งร่อน ทุกรุ่น ศูนย์บริการ เน่า เช็คระยะแพงบรรลัย,"[[""คุณภาพวัสดุ"", ""neg"", ""เน่า""], [""เพดาน"", ""neg"", ""หลุด""], [""เบาะ"", ""neg"", ""หลุด""], [""หน้ง"", ""neg"", ""ร่อน""], [""ศูนย์บริการ"", ""neg"", ""เน่า""], [""เช็คระยะ"", ""neg"", ""แพงบรรลัย""]]"
เครื่องยนต์ MG  โบราณ ไปหน่อย,"[[""เครื่องยนต์ MG"", ""neg"", ""โบราณ""]]"
เครื่องยนต์ และกำลังที่ให้ พร้อมระบบการจัดการ การใช้พลังงาน ตามความเร็ว นับถือเลยครับ ที่ทำราคามาแบบนี้ได้ ,"[[""เครื่องยนต์"", ""pos"", ""นับถือ""], [""กำลัง"", ""pos"", ""นับถือ""], [""ระบบการจัดการ"", ""pos"", ""นับถือ""], [""การใช้พลังงาน"", ""pos"", ""นับถือ""], [""ราคา"", ""pos"", ""แบบนี้ได้""]]"
แค่ดูวัสดุไม่ดีเลย,"[[""วัสดุ"", ""neg"", ""ไม่ดีเลย""]]"
จอหน่วงมาก หน้าไม่สวย,"[[""จอ"", ""neg"", ""หน่วงมาก""],[""หน้า"", ""neg"", ""ไม่สวย""]]"
จีนเริ่มกั๊กแล้ว ลดcost,"[[""จีน"", ""neg"", [""กั๊ก"", ""ลดcost""]]]"
ชอบครับในแง่ของความคุ้มค่า แรงกว่ารถเครื่อง2000อีก,"[[""ความคุ้มค่า"", ""pos"", ""ชอบ""], [""เครื่องยนต์"", ""pos"", ""แรงกว่ารถเครื่อง2000""]]"
ชอบมากเลยครับ ทั้งประหยัดแล้วดูจากคลิปแล้วก็ขับสนุ๊กดีนะครับ ชอบมากเลยครับทรงนี้,"[[""รถ"", ""pos"", [""ชอบมาก"", ""ประหยัด"", ""ขับสนุก""]], [""ทรงนี้"", ""pos"", ""ชอบมาก""]]"
ชอบรถจีนก้อตรงที่เหล็กหนากว่าฮอนกับโตมากดูแข็งแรงดี,"[[""รถจีน"", ""pos"", [""เหล็กหนากว่าฮอนกับโตมาก"", ""ดูแข็งแรงดี""]]]"
ชอบสีแดง สวยเด่นมาก แต่ไม่ชอบโทนสีภายใน นอกนั้นถิอว่าให้มาดี,"[[""สีแดง"", ""pos"", [""ชอบ"",""สวยเด่น""]], [""โทนสีภายใน"", ""neg"", ""ไม่ชอบ""], [""รถ"", ""pos"", ""ให้มาดี""]]"
ดีไซน์ไม่ค่อยสวยเลยแต่ภายในชอบ,"[[""ดีไซน์"", ""neg"", ""ไม่ค่อยสวย""], [""ภายใน"", ""pos"", ""ชอบ""]]"
ดีเลย ไฮบริสดีกว่าไฟฟ้าเยอะ,"[[""ไฮบริส"", ""pos"", ""ดีกว่าไฟฟ้าเยอะ""]]"
ดูแล 2 ระบบ แบบนี้ ขอบายเลย รอ erev ต้นปีหน้า  erev เครี่องยนต์ทำหน้าที่ปั่นไฟอย่างเดียวไม่มีชุดเกียร์  เติมน้ำมันได้  ชาร์ทไฟได้ ลดราคาด้วยเพราะเขาต้องการส่วนแบ่งการตลาด,"[[""2 ระบบ"", ""neg"", ""ขอบาย""], [""erev"", ""pos"", [""เติมน้ำมันได้  ชาร์ทไฟได้"", ""ลดราคาด้วย""]]]"
ได้ความหรู ได้ภาพลักณ์ดูดีทางสังคม  ดูดีมีระดับ แถมได้ในเรื่องความประหยัดอีก คุณภาพก็ดีเกินราคาน่าจับจองเป็นเจ้าของมากๆ,"[[""ภาพลักณ์"", ""pos"", [""หรู"", ""ดูดีทางสังคม"", ""ดูดีมีระดับ""]], [""ความประหยัด"", ""pos"", ""ได้""], [""คุณภาพ"", ""pos"", ""ดีเกินราคา""]]"
ต้องหันมองแล้วครับคุณเต้ยประหยัดสุดๆๆครับมาพร้อมระบบความปลอดภัยมาเต็มๆๆ/ค่ายญี่ปุ่นหนีตายแน่นอนครับ/ดีๆค่ายญี่ปุ่นจะได้ไม่กั๊กออฟชั่นอีกต่อไปครับท่านฯ,"[[""อัตราสิ้นเปลือง"", ""pos"", ""ประหยัดสุดๆ""], [""ระบบความปลอดภัย"", ""pos"", ""มาเต็ม""], [""ค่ายญี่ปุ่น"", ""neg"", ""กั๊กออฟชั่น""]]"
ตั้งแต่ใช้รถ MG มา สิ่งที่ MG ต้องปรับปรุงคือ ศูนย์บริการ การบริการหลังการขาย ความรับผิดชอบ มาตรฐานช่างเทคนิค เพราะทุกวันนี้ เข้าศูนย์แต่ละครั้ง เหมือนเปิดกล่องสุ่ม ศูนย์ดี ช่างเก่ง มีน้อย บางศูนย์ ผู้จัดการขาดวุฒิภาวะ รถดี แต่ ศูนย์แย่ ย่อมส่งผลต่อความเชื่อมั่นลูกค้า,"[[""ศูนย์บริการ"", ""neg"", [""ต้องปรับปรุง"", ""เหมือนเปิดกล่องสุ่ม"", ""แย่""]], [""การบริการหลังการขาย"", ""neg"", ""ต้องปรับปรุง""],  [""ความรับผิดชอบ"", ""neg"", ""ต้องปรับปรุง""], [""มาตรฐานช่างเทคนิค"", ""neg"", ""ต้องปรับปรุง""], [""ผู้จัดการ"", ""neg"", ""ขาดวุฒิภาวะ""], [""รถ"", ""pos"", ""ดี""]]"
ตัดมาที่ศูนย์บริการ....ศูนย์ที่ทำดี เข้าใจรถ มีน้อยมากกกกกก,"[[""ศูนย์บริการที่ทำดี"", ""neg"", ""มีน้อยมาก""]]"
ตัวถังเล็กแต่แรงม้ามากกว่าแอคคอร์ดGEN10 1.5 เทอร์โบ 190แรงม้าสะอีก555,"[[""ตัวถัง"", ""neg"", ""เล็ก""], [""แรงม้า"", ""pos"", ""มากกว่าแอคคอร์ดGEN10""]]"
ถ้ายาวและสูงแบบนี้โยนแน่นอน,"[[""รถ"", ""neg"", [""ยาวและสูง"", ""โยนแน่นอน""]]]"
ทรงสวยกว่า city ehev เยอะเลย น่าเล่นมากถ้าตัวท๊อปราคาซัก 599000,"[[""ทรง"", ""pos"", ""สวยกว่า city ehev""], [""ตัวท๊อปราคา"", ""neg"", ""ถ้าซัก 599000""]]"
ทั้งประหยัดทั้งเเรง ลงตัวนะเเบบนี้สำหรับคนเท้าหนักๆเเล้วยังทำได้ดีขนาดนี้,"[[""อัตราสิ้นเปลือง"", ""pos"", ""ประหยัด""], [""เครื่องยนต์"", ""pos"", ""เเรง""], [""รถ"", ""pos"", [""ลงตัว"",""ทำได้ดี""]]"
เทคโนไฮบริด ดีเลย แต่ตัวรถ ยังไม่โดนใจ 555,"[[""เทคโนไฮบริด"", ""pos"", ""ดีเลย""],[""ตัวรถ"", ""neg"", ""ยังไม่โดนใจ""]]"
เท่าที่ดูโอเคเกือบหมด ขับสนุกวิ่งไกล ประหยัดนํ้ามัน แต่งช่วงล่างที่ความเร็วสูงเกิน 100 km/hr ยังร่อนส่ายๆ การกันกระเทือนยังไม่ได้  ยังไม่ผ่านครับ,"[[""รถ"", ""pos"", [""โอเค"", ""ขับสนุก"", ""วิ่งไกล"", ""ประหยัดน้ำมัน""]], [""ช่วงล่าง"", ""neg"", ""ร่อนส่ายๆ""], [""การกันกระเทือน"", ""neg"", [""ยังไม่ได้"", ""ยังไม่ผ่านครับ""]]]"
แบตเยอะกว่านี้หน่อยได้ไหมครับ 2-3กิโล  น้อยเกิ๊นนนนน,"[[""แบต"", ""neg"", ""น้อย""]]"
แบรนด์ยังเรียกความเชื่อมั่นจากลูกค้าไม่ค่อยได้เลย จากคนที่เคยใช้ mg zs มันก็แย่จริงอย่างที่รู้กัน ทั้งงานประกอบและศูนย์บริการ เข้าไปใช้เป็นว่าเล่น,"[[""แบรนด์"", ""neg"", ""เรียกความเชื่อมั่นไม่ค่อยได้""], [""MG ZS"", ""neg"", ""แย่""], [""งานประกอบ"", ""neg"", ""แย่""], [""ศูนย์บริการ"", ""neg"", ""เข้าไปใช้เป็นว่าเล่น""]]"
ประหยัด ขับแบบสวยๆไปเลยสิ ชอบทั้งภายในและภายนอกเลย,"[[""อัตราสิ้นเปลือง"", ""pos"", ""ประหยัด""], [""ภายใน"", ""pos"", ""ชอบ""], [""ภายนอก"", ""pos"", ""ชอบ""]]"
ปรับหน่วงอยู่ในหน้าจอนี่ดูใช้งานยากเลยต้องละสายตาจากถนนไปปรับ ถ้าปรับที่พวงมาลัยได้น่าจะดีกว่าเยอะ,"[[""หน้าจอ"", ""neg"", [""หน่วง"", ""ใช้งานยาก""]]]"
ผมใช้ MG HS มา  เพื่อนๆ ที่เป็นช่าง มาดูหลายคนบอกว่าเค้าเก็บงานดีมากนะ เนี๊ยบ งานละเอียด เผลอๆ ดีกว่าครับ,"[[""MG HS"", ""pos"", [""เก็บงานดีมาก"", ""เนี๊ยบ"", ""งานละเอียด""]]"
"พวกยาริสเอทีฟ รึ ซิตี้ มันเป็นอาเซียนเอดิชั่น ส่งขายยุโรปไม่ได้ ส่วนตัวนี้มันขายตามมาตรฐานยุโรปใช้  
แค่ทว่า รถยิ่งล้ำ ยิ่งไฮเทค มันยิ่งซ่อมยาก  ต้อง 0 ลูกเดียว  
จริงๆ ไหนๆ เป็นไฮบริดกันทั้งที  น่าจะทำเป็นขับ 4 ล้อ ไปเลย เช่นล้อหน้า เครื่องยนต์  ล้อหลังใช้มอเตอร์  แบบนี้จะดีขึ้นอีกเยอะ แต่ดันไม่มีใครทำ","[[""ยาริสเอทีฟ"", ""neg"", ""ส่งขายยุโรปไม่ได้""], [""ซิตี้"", ""neg"", ""ส่งขายยุโรปไม่ได้""], [""ตัวนี้"", ""pos"", ""มาตรฐานยุโรป"", ""ล้ำ"", ""ไฮเทค""], [""ตัวนี้"", ""neg"", ""ซ่อมยาก""]]"
ภายในมันดูเป็นรถจีนราคาถูกยังใงไม่รู้,"[[""ภายใน"", ""neg"", ""ดูเป็นรถจีนราคาถูก""]]"
ไม่ชอบเกียร์แบบนี้เลย ตำแหน่งเกียร์ด้วย อย่างอื่นโอเครเลย แล้วก็อยากเห็นลองรถติดๆ ในกรุงเทพ ยังไม่มีใครลอง,"[[""เกียร์"", ""neg"", ""ไม่ชอบ""], [""ตำแหน่งเกียร์"", ""neg"", ""ไม่ชอบ""], [""อย่างอื่น"", ""pos"", ""โอเครเลย""]]"
ไม่มีไฟเก๋ง อันนี้สุดๆๆ ละ,"[[""ไฟเก๋ง"", ""neg"", ""ไม่มี""]]"
ยังลบภาพขวัญใจรถยกไม่ได้? ขอดูอีกหน่อยแล้วกัน,"[[""รถ"", ""neg"", ""ขวัญใจรถยก""]]"
ยุคนี้ต้องตัวนี้ประหยัด สวยช่วงล่างแน่น,"[[""อัตราสิ้นเปลือง"", ""pos"", ""ประหยัด""], [""ดีไซน์"", ""pos"", ""สวย""], [""ช่วงล่าง"", ""pos"", ""แน่น""]]"
รถจีนเกือบทั้งหมดทำไมไม่มีไฟตัดหมอก  ขับขี่ตอนฝนตก  หมอกหนาลำบาก,"[[""ไฟตัดหมอก"", ""neg"", ""ไม่มี""], [""การขับขี่"", ""neg"", ""ลำบาก""]]"
รถสวยอยู่ มีแอร์หลัง กล้องรอบคัน คือดีเลย,"[[""รถ"", ""pos"", ""สวย""], [""แอร์หลัง"", ""pos"", ""ดี""], [""กล้องรอบคัน"", ""pos"", ""ดี""]]"
