text,label
SET สัปดาห์นี้ “ฟื้นตัว” จับตาเงินเฟ้อสหรัฐ ฟันด์โฟลว์-งบ Q3 ชู CRC-CPALL-GULF เด่น,<SYMBOL> GULF <ASPECT> งบ <OPINION> เด่น <POS>
SUN แย้ม Q4 แจ่ม เร่งอัพกำลังผลิต รองรับดีมานด์ กางแผนปี 67 บุกตลาด “ยุโรป-สหรัฐ”,<SYMBOL> SUN <ASPECT> Q4 <OPINION> แจ่ม <POS>
III แย้ม Q4 โตต่อ! รับไฮซีซั่น ลุยส่ง “ANI” ลงสนามเทรด SET สิ้นปีนี้,<SYMBOL> III <ASPECT> Q4 <OPINION> โตต่อ <POS>
MAJOR กำไรไตรมาส 3 โตทะลัก 4 เท่าตัว รับรายได้โฆษณา-ธุรกิจโบลิ่ง-คาราโอเกะ,<SYMBOL> MAJOR <ASPECT> กำไร <OPINION> โตทะลัก <POS>
MAJOR กำไรไตรมาส 3 โตทะลัก 4 เท่าตัว รับรายได้โฆษณา-ธุรกิจโบลิ่ง-คาราโอเกะ,<SYMBOL> MAJOR <ASPECT> รายได้ <OPINION> รับ <POS>
BBIK โชว์กำไร Q3 โตเท่าตัว ดัน 9 เดือนทะลุ 200 ล้าน,<SYMBOL> BBIK <ASPECT> กำไร <OPINION> โชว์ <POS>
BBIK โชว์กำไร Q3 โตเท่าตัว ดัน 9 เดือนทะลุ 200 ล้าน,<SYMBOL> BBIK <ASPECT> Q3 <OPINION> โตเท่าตัว <POS>
EA กวาดกำไร 9 เดือนโต 19% รับรายได้ธุรกิจ “อีวี-แบตฯ” หนุน,<SYMBOL> EA <ASPECT> กำไร <OPINION> กวาด <POS>
EA กวาดกำไร 9 เดือนโต 19% รับรายได้ธุรกิจ “อีวี-แบตฯ” หนุน,<SYMBOL> EA <ASPECT> รายได้ <OPINION> รับ <POS>
EA กวาดกำไร 9 เดือนโต 19% รับรายได้ธุรกิจ “อีวี-แบตฯ” หนุน,<SYMBOL> EA <ASPECT> ธุรกิจ <OPINION> หนุน <POS>
COM7 กำไรไตรมาส 3 ลด 16% เซ่นต้นทุนค่าใช้จ่ายเพิ่ม-ขาดทุนด้อยค่าสินค้า,<SYMBOL> COM7 <ASPECT> กำไร <OPINION> ลด <NEG>
COM7 กำไรไตรมาส 3 ลด 16% เซ่นต้นทุนค่าใช้จ่ายเพิ่ม-ขาดทุนด้อยค่าสินค้า,<SYMBOL> COM7 <ASPECT> ต้นทุนค่าใช้จ่าย <OPINION> เพิ่ม <NEG>
COM7 กำไรไตรมาส 3 ลด 16% เซ่นต้นทุนค่าใช้จ่ายเพิ่ม-ขาดทุนด้อยค่าสินค้า,<SYMBOL> COM7 <ASPECT> ด้อยค่าสินค้า <OPINION> ขาดทุน <NEG>
MGC เซ็น MOU กลุ่มปตท. รุกธุรกิจรถ EV ครบวงจร! โชว์รายได้ 9 เดือนทะลุ 1.8 หมื่นล้าน,<SYMBOL> MGC <ASPECT> รายได้ <OPINION> โชว์ <POS>
MGC เซ็น MOU กลุ่มปตท. รุกธุรกิจรถ EV ครบวงจร! โชว์รายได้ 9 เดือนทะลุ 1.8 หมื่นล้าน,<SYMBOL> MGC <ASPECT> รายได้ <OPINION> ทะลุ <POS>
D กวาดรายได้ 9 เดือน 715 ล้านบาท ดันกำไรพุ่ง 57% เดินหน้าขยายฐานลูกค้าต่างชาติ-ไทย,<SYMBOL> D <ASPECT> รายได้ <OPINION> กวาด <POS>
D กวาดรายได้ 9 เดือน 715 ล้านบาท ดันกำไรพุ่ง 57% เดินหน้าขยายฐานลูกค้าต่างชาติ-ไทย,<SYMBOL> D <ASPECT> กำไร <OPINION> พุ่ง <POS>
D กวาดรายได้ 9 เดือน 715 ล้านบาท ดันกำไรพุ่ง 57% เดินหน้าขยายฐานลูกค้าต่างชาติ-ไทย,<SYMBOL> D <ASPECT> ขยายฐานลูกค้า <OPINION> เดินหน้า <POS>
SICT โชว์กำไร Q3 โต 49% แตะ 24 ล้าน มั่นใจรายปีนี้เข้าเป้า 15%,<SYMBOL> SICT <ASPECT> กำไร <OPINION> โชว์ <POS>
SICT โชว์กำไร Q3 โต 49% แตะ 24 ล้าน มั่นใจรายปีนี้เข้าเป้า 15%,<SYMBOL> SICT <ASPECT> กำไร <OPINION> โต <POS>
SICT โชว์กำไร Q3 โต 49% แตะ 24 ล้าน มั่นใจรายปีนี้เข้าเป้า 15%,<SYMBOL> SICT <ASPECT> รายปีนี้ <OPINION> มั่นใจ <POS>
SICT โชว์กำไร Q3 โต 49% แตะ 24 ล้าน มั่นใจรายปีนี้เข้าเป้า 15%,<SYMBOL> SICT <ASPECT> รายปีนี้ <OPINION> เข้าเป้า <POS>
KUN ไฟเขียวจ่ายปัน 0.035 บาท จ่อขึ้น XD 23 พ.ย. นี้,<SYMBOL> KUN <ASPECT> จ่ายปัน <OPINION> ไฟเขียว <POS>
ADD โกยรายได้ 9 เดือนทะลุ 200 ล้าน ลุ้น Q4 โตดี,<SYMBOL> ADD <ASPECT> รายได้ <OPINION> โกย <POS>
ADD โกยรายได้ 9 เดือนทะลุ 200 ล้าน ลุ้น Q4 โตดี,<SYMBOL> ADD <ASPECT> รายได้ <OPINION> ทะลุ <POS>
ADD โกยรายได้ 9 เดือนทะลุ 200 ล้าน ลุ้น Q4 โตดี,<SYMBOL> ADD <ASPECT> Q4 <OPINION> โตดี <POS>
พ้นจุดต่ำสุด! JMART โชว์งบ Q3 เทิร์นอะราวด์ มั่นใจธุรกิจฟื้น ดันปี 67 ออลไทม์ไฮ,<SYMBOL> JMART <ASPECT> จุดต่ำสุด <OPINION> พ้น <POS>
พ้นจุดต่ำสุด! JMART โชว์งบ Q3 เทิร์นอะราวด์ มั่นใจธุรกิจฟื้น ดันปี 67 ออลไทม์ไฮ,<SYMBOL> JMART <ASPECT> งบเทิร์นอะราวด์ <OPINION> โชว์ <POS>
พ้นจุดต่ำสุด! JMART โชว์งบ Q3 เทิร์นอะราวด์ มั่นใจธุรกิจฟื้น ดันปี 67 ออลไทม์ไฮ,<SYMBOL> JMART <ASPECT> ธุรกิจ <OPINION> มั่นใจ <POS>
พ้นจุดต่ำสุด! JMART โชว์งบ Q3 เทิร์นอะราวด์ มั่นใจธุรกิจฟื้น ดันปี 67 ออลไทม์ไฮ,<SYMBOL> JMART <ASPECT> ธุรกิจ <OPINION> ฟื้น <POS>
พ้นจุดต่ำสุด! JMART โชว์งบ Q3 เทิร์นอะราวด์ มั่นใจธุรกิจฟื้น ดันปี 67 ออลไทม์ไฮ,<SYMBOL> JMART <ASPECT> ธุรกิจ <OPINION> ออลไทม์ไฮ <POS>
ORI ปลื้ม! กวาดยอดขายงานมหกรรม “บ้าน-คอนโด” 520 ล้าน กระแสตอบรับเยี่ยม,<SYMBOL> ORI <ASPECT> ยอดขาย <OPINION> กวาด <POS>
ORI ปลื้ม! กวาดยอดขายงานมหกรรม “บ้าน-คอนโด” 520 ล้าน กระแสตอบรับเยี่ยม,<SYMBOL> ORI <ASPECT> กระแสตอบรับ <OPINION> เยี่ยม <POS>
สรุปกระดานรายใหญ่วันนี้ GPSC มูลค่าสูงสุด 88 ล้านบาท,<SYMBOL> GPSC <ASPECT> มูลค่า <OPINION> สูงสุด <NEU>
สรุป SET100 วันนี้ STA บวกสูงสุด 5%,<SYMBOL> STA <OPINION> บวกสูงสุด <POS>
SAK โชว์กำไร 9 เดือนแตะ 542 ล้าน เดินหน้าสินเชื่อ “โซลาร์ปั๊ม” เพื่อการเกษตรกร,<SYMBOL> SAK <ASPECT> กำไร <OPINION> โชว์ <POS>
SAK โชว์กำไร 9 เดือนแตะ 542 ล้าน เดินหน้าสินเชื่อ “โซลาร์ปั๊ม” เพื่อการเกษตรกร,<SYMBOL> SAK <ASPECT> กำไร <OPINION> แตะ <POS>
ALLA โกยกำไร 9 เดือนโตเท่าตัว มั่นใจผลงานปีนี้โตเข้าเป้า 10%,<SYMBOL> ALLA <ASPECT> กำไร <OPINION> โกย <POS>
ALLA โกยกำไร 9 เดือนโตเท่าตัว มั่นใจผลงานปีนี้โตเข้าเป้า 10%,<SYMBOL> ALLA <ASPECT> กำไร <OPINION> โตเท่าตัว <POS>
ALLA โกยกำไร 9 เดือนโตเท่าตัว มั่นใจผลงานปีนี้โตเข้าเป้า 10%,<SYMBOL> ALLA <ASPECT> ผลงาน <OPINION> โตเข้าเป้า <POS>
PRINC โชว์รายได้ไตรมาส 3 ทะลุ 1.6 พันล้าน กางแผนปี 67 ขยายรพ. – ศูนย์เฉพาะทาง 20 แห่ง,<SYMBOL> PRINC <ASPECT> รายได้ <OPINION> โชว์ <POS>
PRINC โชว์รายได้ไตรมาส 3 ทะลุ 1.6 พันล้าน กางแผนปี 67 ขยายรพ. – ศูนย์เฉพาะทาง 20 แห่ง,<SYMBOL> PRINC <ASPECT> รายได้ <OPINION> ทะลุ <POS>
PROEN ส่งซิก Q4 สดใส! รับดีมานด์ธุรกิจ ICT – ลุยลงทุน “ศูนย์ข้อมูล IDC”,<SYMBOL> PROEN <ASPECT> Q4 <OPINION> สดใส <POS>
TQR โชว์กำไร 9 เดือนแตะ 71 ล้าน ประกันภัยต่อไซเบอร์-อีวีพุ่ง,<SYMBOL> TQR <ASPECT> กำไร <OPINION> โชว์ <POS>
TQR โชว์กำไร 9 เดือนแตะ 71 ล้าน ประกันภัยต่อไซเบอร์-อีวีพุ่ง,<SYMBOL> TQR <ASPECT> ประกันภัยต่อไซเบอร์ <OPINION> แตะ <POS>
TQR โชว์กำไร 9 เดือนแตะ 71 ล้าน ประกันภัยต่อไซเบอร์-อีวีพุ่ง,<SYMBOL> TQR <ASPECT> อีวี <OPINION> พุ่ง <POS>
BGC ปลื้ม! ติดโผหุ้นยั่งยืน ESG Ratings ระดับ “AA”,<SYMBOL> BGC <ASPECT> ติดโผ <OPINION> ปลื้ม <POS>
YGG โชว์รายได้ Q3 แตะ 94 ล้าน อานิสงส์งานกราฟิก-ลิขสิทธิ์เกมหนุน,<SYMBOL> YGG <ASPECT> รายได้ <OPINION> โชว์ <POS>
YGG โชว์รายได้ Q3 แตะ 94 ล้าน อานิสงส์งานกราฟิก-ลิขสิทธิ์เกมหนุน,<SYMBOL> YGG <ASPECT> อานิสงส์ <OPINION> หนุน <POS>
JMT ปิดเช้าร่วง 14% ผิดหวัง Q3 เก็บหนี้ต่ำคาด! หวั่นโบรกหั่นกำไร Q4,<SYMBOL> JMT <ASPECT> ปิดเช้า <OPINION> ร่วง <NEG>
JMT ปิดเช้าร่วง 14% ผิดหวัง Q3 เก็บหนี้ต่ำคาด! หวั่นโบรกหั่นกำไร Q4,<SYMBOL> JMT <ASPECT> เก็บหนี้ <OPINION> ผิดหวัง <NEG>
JMT ปิดเช้าร่วง 14% ผิดหวัง Q3 เก็บหนี้ต่ำคาด! หวั่นโบรกหั่นกำไร Q4,<SYMBOL> JMT <ASPECT> เก็บหนี้ <OPINION> ต่ำคาด <NEG>
JMT ปิดเช้าร่วง 14% ผิดหวัง Q3 เก็บหนี้ต่ำคาด! หวั่นโบรกหั่นกำไร Q4,<SYMBOL> JMT <ASPECT> หั่นกำไร <OPINION> หวั่น <NEG>
สรุปกระดานรายใหญ่เช้านี้ ADVANC มูลค่าสูงสุด 9 ล้านบาท,<SYMBOL> ADVANC <ASPECT> มูลค่า <OPINION> สูงสุด <NEU>
สรุป SET100 เช้านี้ BCP บวกสูงสุด 4%,<SYMBOL> BCP <OPINION> บวกสูงสุด <POS>
QTC ไตรมาส 3 พลิกกำไร 36 ลบ. ลุ้นท้ายปีกวาดงานใหม่ 490 ล้าน,<SYMBOL> QTC <ASPECT> พลิก <OPINION> กำไร <POS>
QTC ไตรมาส 3 พลิกกำไร 36 ลบ. ลุ้นท้ายปีกวาดงานใหม่ 490 ล้าน,<SYMBOL> QTC <ASPECT> งานใหม่ <OPINION> กวาด <POS>
TSE รายได้ขาย-บริการทะลัก! ดันกำไร 9 เดือน ทะลุ 500 ล้าน,<SYMBOL> TSE <ASPECT> รายได้ขาย-บริการ <OPINION> ทะลัก <POS>
TSE รายได้ขาย-บริการทะลัก! ดันกำไร 9 เดือน ทะลุ 500 ล้าน,<SYMBOL> TSE <ASPECT> กำไร <OPINION> ดัน <POS>
MACO โชว์รายได้ Q2 โต 6% ดันกำไรแตะ 56 ล้านบาท,<SYMBOL> MACO <ASPECT> รายได้ <OPINION> โชว์ <POS>
MACO โชว์รายได้ Q2 โต 6% ดันกำไรแตะ 56 ล้านบาท,<SYMBOL> MACO <ASPECT> Q2 <OPINION> โต <POS>
MACO โชว์รายได้ Q2 โต 6% ดันกำไรแตะ 56 ล้านบาท,<SYMBOL> MACO <ASPECT> กำไร <OPINION> ดัน <POS>
WHA ร่วง 5% หวั่นผลงานหดตัวต่อ หลังไตรมาส 3 กำไรต่ำคาด,<SYMBOL> WHA <OPINION> ร่วง <NEG>
WHA ร่วง 5% หวั่นผลงานหดตัวต่อ หลังไตรมาส 3 กำไรต่ำคาด,<SYMBOL> WHA <ASPECT> ผลงาน <OPINION> หวั่น <NEG>
WHA ร่วง 5% หวั่นผลงานหดตัวต่อ หลังไตรมาส 3 กำไรต่ำคาด,<SYMBOL> WHA <ASPECT> ผลงาน <OPINION> หดตัว <NEG>
WHA ร่วง 5% หวั่นผลงานหดตัวต่อ หลังไตรมาส 3 กำไรต่ำคาด,<SYMBOL> WHA <ASPECT> กำไร <OPINION> ต่ำคาด <NEG>
SAMART โกยรายได้ 9 เดือนทะลุ 7 พันล้าน ตุนแบ็กล็อกแน่นหมื่นล้าน มั่นใจดันธุรกิจโตแกร่ง,<SYMBOL> SAMART <ASPECT> รายได้ <OPINION> โกย <POS>
SAMART โกยรายได้ 9 เดือนทะลุ 7 พันล้าน ตุนแบ็กล็อกแน่นหมื่นล้าน มั่นใจดันธุรกิจโตแกร่ง,<SYMBOL> SAMART <ASPECT> รายได้ <OPINION> ทะลุ <POS>
SAMART โกยรายได้ 9 เดือนทะลุ 7 พันล้าน ตุนแบ็กล็อกแน่นหมื่นล้าน มั่นใจดันธุรกิจโตแกร่ง,<SYMBOL> SAMART <ASPECT> ตุนแบ็กล็อก <OPINION> แน่น <POS>
SAMART โกยรายได้ 9 เดือนทะลุ 7 พันล้าน ตุนแบ็กล็อกแน่นหมื่นล้าน มั่นใจดันธุรกิจโตแกร่ง,<SYMBOL> SAMART <ASPECT> ธุรกิจ <OPINION> มั่นใจดัน <POS>
SAMART โกยรายได้ 9 เดือนทะลุ 7 พันล้าน ตุนแบ็กล็อกแน่นหมื่นล้าน มั่นใจดันธุรกิจโตแกร่ง,<SYMBOL> SAMART <ASPECT> ธุรกิจ <OPINION> โตแกร่ง <POS>
WP แย้ม Q4 สดใส! รับดีมานด์ LPG-โซลาร์รูฟท็อป มั่นใจรายได้ปี 66 ทะลุ 1.7 หมื่นล้าน,<SYMBOL> WP <ASPECT> Q4 <OPINION> สดใส <POS>
WP แย้ม Q4 สดใส! รับดีมานด์ LPG-โซลาร์รูฟท็อป มั่นใจรายได้ปี 66 ทะลุ 1.7 หมื่นล้าน,<SYMBOL> WP <ASPECT> รายได้ <OPINION> มั่นใจ <POS>
JKN รูดฟลอร์ 2 เซ่น ตลท. แขวน “C” 13 พ.ย.นี้ – ศาลรับคำร้องฟื้นฟูกิจการ,<SYMBOL> JKN <ASPECT> ฟลอร์ <OPINION> รูด <NEG>
JKN รูดฟลอร์ 2 เซ่น ตลท. แขวน “C” 13 พ.ย.นี้ – ศาลรับคำร้องฟื้นฟูกิจการ,<SYMBOL> JKN <ASPECT> กิจการ <OPINION> ฟื้นฟู <POS>
BE8 โชว์กำไร 9 เดือนแรกแตะ 213 ล้าน โต 139% รับรายได้บริการเทคโนโลยี,<SYMBOL> BE8 <ASPECT> กำไร <OPINION> โชว์ <POS>
BE8 โชว์กำไร 9 เดือนแรกแตะ 213 ล้าน โต 139% รับรายได้บริการเทคโนโลยี,<SYMBOL> BE8 <ASPECT> กำไร <OPINION> โต <POS>
PPS โชว์รายได้ 9 เดือนทะลุ 323 ล้าน แย้ม Q4 โตต่อ ตุนแบ็กล็อกเฉียด 500 ลบ.,<SYMBOL> PPS <ASPECT> รายได้ <OPINION> โชว์ <POS>
PPS โชว์รายได้ 9 เดือนทะลุ 323 ล้าน แย้ม Q4 โตต่อ ตุนแบ็กล็อกเฉียด 500 ลบ.,<SYMBOL> PPS <ASPECT> Q4 <OPINION> โตต่อ <POS>
PPS โชว์รายได้ 9 เดือนทะลุ 323 ล้าน แย้ม Q4 โตต่อ ตุนแบ็กล็อกเฉียด 500 ลบ.,<SYMBOL> PPS <ASPECT> แบ็กล็อก <OPINION> ตุน <POS>
COCOCO โกยกำไร 9 เดือนทะลุ 350 ล้าน ออเดอร์ใหม่ทะลัก-รุกขยายตลาดจีนหนุน,<SYMBOL> COCOCO <ASPECT> กำไร <OPINION> โกย <POS>
COCOCO โกยกำไร 9 เดือนทะลุ 350 ล้าน ออเดอร์ใหม่ทะลัก-รุกขยายตลาดจีนหนุน,<SYMBOL> COCOCO <ASPECT> กำไร <OPINION> ทะลุ <POS>
COCOCO โกยกำไร 9 เดือนทะลุ 350 ล้าน ออเดอร์ใหม่ทะลัก-รุกขยายตลาดจีนหนุน,<SYMBOL> COCOCO <ASPECT> ออเดอร์ใหม่ <OPINION> ทะลัก <POS>
COCOCO โกยกำไร 9 เดือนทะลุ 350 ล้าน ออเดอร์ใหม่ทะลัก-รุกขยายตลาดจีนหนุน,<SYMBOL> COCOCO <ASPECT> รุกขยายตลาดจีน <OPINION> หนุน <POS>
SCGP ลุ้น Q4 แจ่ม! รับดีมานด์ ”แพ็กเกจจิ้ง” อาหาร-เครื่องดื่มหนุน,<SYMBOL> SCGP <ASPECT> Q4 <OPINION> แจ่ม <POS>
SCGP ลุ้น Q4 แจ่ม! รับดีมานด์ ”แพ็กเกจจิ้ง” อาหาร-เครื่องดื่มหนุน,<SYMBOL> SCGP <ASPECT> อาหาร <OPINION> หนุน <POS>
SCGP ลุ้น Q4 แจ่ม! รับดีมานด์ ”แพ็กเกจจิ้ง” อาหาร-เครื่องดื่มหนุน,<SYMBOL> SCGP <ASPECT> เครื่องดื่ม <OPINION> หนุน <POS>
MTC โชว์สินเชื่อ Q3 ขยายตัวตามเป้า รุกขยายสาขาดันพอร์ดปี 67 โต 20%,<SYMBOL> MTC <ASPECT> สินเชื่อ <OPINION> โชว์ <POS>
