text,label
TCAP เปิดงบไตรมาส 2 กำไรเฉียด 2 พันล้านบาท รับเงินปันผลลงทุนเพิ่ม,<SYMBOL> TCAP <ASPECT> เงินปันผล <OPINION> เพิ่ม <POS>
CFARM โชว์งบ 6 เดือน รับรู้รายได้ “เลี้ยงไก่เนื้อ” แตะ 104 ล้านบาท,<SYMBOL> CFARM <ASPECT> งบ <OPINION> โชว์ <POS>
CFARM โชว์งบ 6 เดือน รับรู้รายได้ “เลี้ยงไก่เนื้อ” แตะ 104 ล้านบาท,<SYMBOL> CFARM <ASPECT> รับรู้ <OPINION> รายได้ <NEU>
MINT โชว์กำไร 6 เดือนโต 74% เฉียด 4 พันล้าน รับรายได้โรงแรม-ร้านอาหารหนุน,<SYMBOL> MINT <ASPECT> กำไร <OPINION> โต <POS>
MINT โชว์กำไร 6 เดือนโต 74% เฉียด 4 พันล้าน รับรายได้โรงแรม-ร้านอาหารหนุน,<SYMBOL> MINT <ASPECT> โรงแรม <OPINION> หนุน <POS>
MINT โชว์กำไร 6 เดือนโต 74% เฉียด 4 พันล้าน รับรายได้โรงแรม-ร้านอาหารหนุน,<SYMBOL> MINT <ASPECT> ร้านอาหาร <OPINION> หนุน <POS>
TFM โกยกำไรครึ่งปีแรกโต 10 เท่าตัว แตะ 230 ล้านบาท เคาะปันผล 0.30 บ.,<SYMBOL> TFM <ASPECT> กำไร <OPINION> โกย <POS>
TFM โกยกำไรครึ่งปีแรกโต 10 เท่าตัว แตะ 230 ล้านบาท เคาะปันผล 0.30 บ.,<SYMBOL> TFM <ASPECT> ครึ่งปีแรก <OPINION> โต <POS>
SA การเงินแกร่ง! ไถ่ถอน “หุ้นกู้” ก่อนกำหนด 1.5 พันล้านบาท,<SYMBOL> SA <ASPECT> การเงิน <OPINION> แกร่ง <POS>
โบรกเชียร์ซื้อ SAV เป้า 26 บ. หลังกำไรไตรมาส 2 โตทะลัก 40% แตะ 116 ล้านบาท,<SYMBOL> SAV <ASPECT> โบรกเชียร์ <OPINION> ซื้อ <POS>
โบรกเชียร์ซื้อ SAV เป้า 26 บ. หลังกำไรไตรมาส 2 โตทะลัก 40% แตะ 116 ล้านบาท,<SYMBOL> SAV <ASPECT> กำไร <OPINION> โตทะลัก <POS>
โบรกแนะซื้อ CRC เป้า 48 บ. ลุ้นกำไรไตรมาส 2 โต 4% แตะ 1.6 พันล้าน,<SYMBOL> CRC <ASPECT> โบรกแนะ <OPINION> ซื้อ <POS>
โบรกแนะซื้อ CRC เป้า 48 บ. ลุ้นกำไรไตรมาส 2 โต 4% แตะ 1.6 พันล้าน,<SYMBOL> CRC <ASPECT> กำไร <OPINION> โต <POS>
TRUE บวก 2% นิวไฮรอบเกือบ 5 ปี หลังโชว์งบ Q2 อิบิทด้าโต 16% โบรกชี้ปี 68 พลิกกำไร,<SYMBOL> TRUE <ASPECT> ราคาหุ้น <OPINION> บวก <POS>
TRUE บวก 2% นิวไฮรอบเกือบ 5 ปี หลังโชว์งบ Q2 อิบิทด้าโต 16% โบรกชี้ปี 68 พลิกกำไร,<SYMBOL> TRUE <ASPECT> ราคาหุ้น <OPINION> นิวไฮ <POS>
TRUE บวก 2% นิวไฮรอบเกือบ 5 ปี หลังโชว์งบ Q2 อิบิทด้าโต 16% โบรกชี้ปี 68 พลิกกำไร,<SYMBOL> TRUE <ASPECT> งบ <OPINION> โต <POS>
TRUE บวก 2% นิวไฮรอบเกือบ 5 ปี หลังโชว์งบ Q2 อิบิทด้าโต 16% โบรกชี้ปี 68 พลิกกำไร,<SYMBOL> TRUE <ASPECT> โบรกชี้ <OPINION> กำไร <POS>
VGI บวก 4% รับทุนยักษ์ไทย-ดูไบทุ่ม 1.3 หมื่นล้าน เข้าถือหุ้นใหญ่ 44%,<SYMBOL> VGI <ASPECT> ราคาหุ้น <OPINION> บวก <POS>
VGI บวก 4% รับทุนยักษ์ไทย-ดูไบทุ่ม 1.3 หมื่นล้าน เข้าถือหุ้นใหญ่ 44%,<SYMBOL> VGI <ASPECT> ยักษ์ไทย <OPINION> รับทุน <POS>
VGI บวก 4% รับทุนยักษ์ไทย-ดูไบทุ่ม 1.3 หมื่นล้าน เข้าถือหุ้นใหญ่ 44%,<SYMBOL> VGI <ASPECT> ดูไบ <OPINION> ทุ่ม <POS>
TNR รายได้เพิ่ม-บันทึกรายการพิเศษ ดันกำไร Q2 โต 9 เท่าตัว เคาะปันผล 0.30 บาท,<SYMBOL> TNR <ASPECT> รายได้ <OPINION> เพิ่ม <POS>
TNR รายได้เพิ่ม-บันทึกรายการพิเศษ ดันกำไร Q2 โต 9 เท่าตัว เคาะปันผล 0.30 บาท,<SYMBOL> TNR <ASPECT> กำไร <OPINION> ดัน <POS>
TNR รายได้เพิ่ม-บันทึกรายการพิเศษ ดันกำไร Q2 โต 9 เท่าตัว เคาะปันผล 0.30 บาท,<SYMBOL> TNR <ASPECT> Q2 <OPINION> โต <POS>
THANI ต้นทุนดอกเบี้ย-สำรองพุ่ง! กดกำไรไตรมาส 2 วูบ 40%,<SYMBOL> THANI <ASPECT> ต้นทุนดอกเบี้ย <OPINION> พุ่ง <NEG>
THANI ต้นทุนดอกเบี้ย-สำรองพุ่ง! กดกำไรไตรมาส 2 วูบ 40%,<SYMBOL> THANI <ASPECT> สำรอง <OPINION> พุ่ง <NEG>
THANI ต้นทุนดอกเบี้ย-สำรองพุ่ง! กดกำไรไตรมาส 2 วูบ 40%,<SYMBOL> THANI <ASPECT> กำไร <OPINION> กด <NEG>
THANI ต้นทุนดอกเบี้ย-สำรองพุ่ง! กดกำไรไตรมาส 2 วูบ 40%,<SYMBOL> THANI <ASPECT> ไตรมาส 2 <OPINION> วูบ <NEG>
SAV กำไรไตรมาส 2 โตทะลัก 39% แตะ 116 ล้าน,<SYMBOL> SAV <ASPECT> กำไร <OPINION> โตทะลัก <POS>
PSL รายได้ค่าระวางพุ่ง-ขายเรือ 2 ลำ ดันกำไร Q2 แตะ 529 ล้าน โต 85%,<SYMBOL> PSL <ASPECT> รายได้ <OPINION> พุ่ง <POS>
PSL รายได้ค่าระวางพุ่ง-ขายเรือ 2 ลำ ดันกำไร Q2 แตะ 529 ล้าน โต 85%,<SYMBOL> PSL <ASPECT> กำไร <OPINION> โต <POS>
MINT มั่นใจ Q3 ยังแกร่ง! ยอดจองโรงแรม “ยุโรป” เพิ่มต่อเนื่อง,<SYMBOL> MINT <ASPECT> Q3 <OPINION> มั่นใจ <POS>
MINT มั่นใจ Q3 ยังแกร่ง! ยอดจองโรงแรม “ยุโรป” เพิ่มต่อเนื่อง,<SYMBOL> MINT <ASPECT> Q3 <OPINION> ยังแกร่ง <POS>
MINT มั่นใจ Q3 ยังแกร่ง! ยอดจองโรงแรม “ยุโรป” เพิ่มต่อเนื่อง,<SYMBOL> MINT <ASPECT> ยอดจอง <OPINION> เพิ่มต่อเนื่อง <POS>
ADVICE ร่วมให้ข้อมูลงาน “Exclusive Talk” ตอกย้ำความเชื่อมั่นนักลงทุน,<SYMBOL> ADVICE <ASPECT> ความเชื่อมั่น <OPINION> ตอกย้ำ <POS>
PROEN บวก 4% ครึ่งหลังลุยประมูลงาน 2.6 พันล้าน พร้อมรุกธุรกิจ Data Center เต็มสูบ!,<SYMBOL> PROEN <ASPECT> ราคาหุ้น <OPINION> บวก <POS>
PROEN บวก 4% ครึ่งหลังลุยประมูลงาน 2.6 พันล้าน พร้อมรุกธุรกิจ Data Center เต็มสูบ!,<SYMBOL> PROEN <ASPECT> รุกธุรกิจ <OPINION> เต็มสูบ <POS>
MTC บวก 3% ลุ้นกำไรไตรมาส 2 โตแตะ 1.4 พันลบ. รับรายได้ดอกเบี้ยหนุน,<SYMBOL> MTC <ASPECT> ราคาหุ้น <OPINION> บวก <POS>
MTC บวก 3% ลุ้นกำไรไตรมาส 2 โตแตะ 1.4 พันลบ. รับรายได้ดอกเบี้ยหนุน,<SYMBOL> MTC <ASPECT> กำไร <OPINION> โต <POS>
MTC บวก 3% ลุ้นกำไรไตรมาส 2 โตแตะ 1.4 พันลบ. รับรายได้ดอกเบี้ยหนุน,<SYMBOL> MTC <ASPECT> รายได้ดอกเบี้ย <OPINION> หนุน <POS>
AU โบรกแนะ “ซื้อ” เป้า 13 บาท ลุ้นกำไร Q2 โต 37% รับยอดขายขนมพุ่ง-ขยายสาขาหนุน,<SYMBOL> AU <ASPECT> โบรกแนะ <OPINION> ซื้อ <POS>
AU โบรกแนะ “ซื้อ” เป้า 13 บาท ลุ้นกำไร Q2 โต 37% รับยอดขายขนมพุ่ง-ขยายสาขาหนุน,<SYMBOL> AU <ASPECT> กำไร <OPINION> โต <POS>
AU โบรกแนะ “ซื้อ” เป้า 13 บาท ลุ้นกำไร Q2 โต 37% รับยอดขายขนมพุ่ง-ขยายสาขาหนุน,<SYMBOL> AU <ASPECT> ยอดขาย <OPINION> พุ่ง <POS>
AU โบรกแนะ “ซื้อ” เป้า 13 บาท ลุ้นกำไร Q2 โต 37% รับยอดขายขนมพุ่ง-ขยายสาขาหนุน,<SYMBOL> AU <ASPECT> ขยายสาขา <OPINION> หนุน <POS>
โบรกแนะ “ซื้อ” FM เป้า 8.90 บาท ลุ้นกำไร Q2 โต 1 เท่าตัว รับธุรกิจไก่แปรรูปเด่น,<SYMBOL> FM <ASPECT> โบรกแนะ <OPINION> ซื้อ <POS>
โบรกแนะ “ซื้อ” FM เป้า 8.90 บาท ลุ้นกำไร Q2 โต 1 เท่าตัว รับธุรกิจไก่แปรรูปเด่น,<SYMBOL> FM <ASPECT> กำไร <OPINION> โต <POS>
โบรกแนะ “ซื้อ” FM เป้า 8.90 บาท ลุ้นกำไร Q2 โต 1 เท่าตัว รับธุรกิจไก่แปรรูปเด่น,<SYMBOL> FM <ASPECT> ธุรกิจ <OPINION> เด่น <POS>
MEGA ลุ้นกำไรไตรมาส 2/67 แตะ 563 ล้าน โต 6% โบรกชูเป้า 44 บาท,<SYMBOL> MEGA <ASPECT> กำไร <OPINION> ลุ้น <POS>
MEGA ลุ้นกำไรไตรมาส 2/67 แตะ 563 ล้าน โต 6% โบรกชูเป้า 44 บาท,<SYMBOL> MEGA <ASPECT> กำไร <OPINION> โต <POS>
APO บวก 14% ลุ้นไตรมาส 2 โตเด่น! ยอดจำหน่าย “น้ำมันปาล์มดิบ” พุ่งต่อเนื่อง,<SYMBOL> APO <ASPECT> ราคาหุ้น <OPINION> บวก <POS>
APO บวก 14% ลุ้นไตรมาส 2 โตเด่น! ยอดจำหน่าย “น้ำมันปาล์มดิบ” พุ่งต่อเนื่อง,<SYMBOL> APO <ASPECT> ไตรมาส 2 <OPINION> โตเด่น <POS>
APO บวก 14% ลุ้นไตรมาส 2 โตเด่น! ยอดจำหน่าย “น้ำมันปาล์มดิบ” พุ่งต่อเนื่อง,<SYMBOL> APO <ASPECT> ยอดจำหน่าย <OPINION> พุ่งต่อเนื่อง <POS>
TPOLY พุ่งแรง 9% หลังคว้างานก่อสร้าง “รพ.สุราษฎร์ฯ” มูลค่า 325 ล้าน,<SYMBOL> TPOLY <ASPECT> ราคาหุ้น <OPINION> พุ่งแรง <POS>
BCP วิ่ง 3% โบรกแนะ “ซื้อ” เป้า 43 บาท ลุ้นกำไร Q2 เฉียด 3 เท่าตัว,<SYMBOL> BCP <ASPECT> ราคาหุ้น <OPINION> วิ่ง <POS>
BCP วิ่ง 3% โบรกแนะ “ซื้อ” เป้า 43 บาท ลุ้นกำไร Q2 เฉียด 3 เท่าตัว,<SYMBOL> BCP <ASPECT> โบรกแนะ <OPINION> ซื้อ <POS>
BCP วิ่ง 3% โบรกแนะ “ซื้อ” เป้า 43 บาท ลุ้นกำไร Q2 เฉียด 3 เท่าตัว,<SYMBOL> BCP <ASPECT> กำไร <OPINION> ลุ้น <POS>
VGI ปิดบวก 12% เก็งต่อสัมปทาน “สายสีเขียว” หลังกลุ่มบีทีเอส ชนะคดีกทม.,<SYMBOL> VGI <ASPECT> ราคาหุ้น <OPINION> ปิดบวก <POS>
CPF ปิดร่วง 3% แพนิก! กมธ.ถกปัญหา “ปลาหมอคางดำ” พร้อมเข้าสภาฯ “ผบห.” ยันไม่กระทบธุรกิจ,<SYMBOL> CPF <ASPECT> ราคาหุ้น <OPINION> ปิดร่วง <NEG>
CPF ปิดร่วง 3% แพนิก! กมธ.ถกปัญหา “ปลาหมอคางดำ” พร้อมเข้าสภาฯ “ผบห.” ยันไม่กระทบธุรกิจ,<SYMBOL> CPF <ASPECT> ปิดร่วง <OPINION> แพนิก <NEG>
CPF ปิดร่วง 3% แพนิก! กมธ.ถกปัญหา “ปลาหมอคางดำ” พร้อมเข้าสภาฯ “ผบห.” ยันไม่กระทบธุรกิจ,<SYMBOL> CPF <ASPECT> ธุรกิจ <OPINION> ไม่กระทบ <POS>
CHG บวก 3% โบรกมองกำไร Q2 ทะลุ 220 ล้าน รับรายได้ “รพ.จุฬารัตน์ 3-ประกันสังคม” หนุน,<SYMBOL> CHG <ASPECT> ราคาหุ้น <OPINION> บวก <POS>
CHG บวก 3% โบรกมองกำไร Q2 ทะลุ 220 ล้าน รับรายได้ “รพ.จุฬารัตน์ 3-ประกันสังคม” หนุน,<SYMBOL> CHG <ASPECT> โบรกมอง <OPINION> กำไร <POS>
CHG บวก 3% โบรกมองกำไร Q2 ทะลุ 220 ล้าน รับรายได้ “รพ.จุฬารัตน์ 3-ประกันสังคม” หนุน,<SYMBOL> CHG <ASPECT> รายได้ <OPINION> หนุน <POS>
NL ส่งซิกครึ่งปีหลังสดใส จ่อเซ็นโครงการใหม่-รับงานเพิ่ม ตุนแบ็กล็อกต่อเนื่อง,<SYMBOL> NL <ASPECT> ครึ่งปีหลัง <OPINION> สดใส <POS>
NL ส่งซิกครึ่งปีหลังสดใส จ่อเซ็นโครงการใหม่-รับงานเพิ่ม ตุนแบ็กล็อกต่อเนื่อง,<SYMBOL> NL <ASPECT> ตุนแบ็กล็อก <OPINION> ต่อเนื่อง <POS>
"RCL แรงต่อ 7% ลุ้นรายได้ Q2 โตเด่น จ่อรับมอบเรือใหญ่ 12,000 ทีอียู หนุนขนส่งเพิ่ม",<SYMBOL> RCL <ASPECT> ราคาหุ้น <OPINION> แรงต่อ <POS>
"RCL แรงต่อ 7% ลุ้นรายได้ Q2 โตเด่น จ่อรับมอบเรือใหญ่ 12,000 ทีอียู หนุนขนส่งเพิ่ม",<SYMBOL> RCL <ASPECT> รายได้ <OPINION> โตเด่น <POS>
"RCL แรงต่อ 7% ลุ้นรายได้ Q2 โตเด่น จ่อรับมอบเรือใหญ่ 12,000 ทีอียู หนุนขนส่งเพิ่ม",<SYMBOL> RCL <ASPECT> ขนส่ง <OPINION> เพิ่ม <POS>
BCP ดีด 5% นำทีม “กลุ่มโรงกลั่น” ขานรับ “ราคาน้ำมัน” พุ่ง หลังตะวันออกกลางเดือด,<SYMBOL> BCP <ASPECT> ราคาหุ้น <OPINION> ดีด <POS>
BCP ดีด 5% นำทีม “กลุ่มโรงกลั่น” ขานรับ “ราคาน้ำมัน” พุ่ง หลังตะวันออกกลางเดือด,<SYMBOL> BCP <ASPECT> ราคาน้ำมัน <OPINION> พุ่ง <POS>
JMT ควง JMART วิ่งคึก! โบรกมองครึ่งปีหลังสดใส-ฐานะการเงินแกร่ง ไร้กังวลจ่ายหุ้นกู้,<SYMBOL> JMT <ASPECT> ราคาหุ้น <OPINION> วิ่งคึก <POS>
JMT ควง JMART วิ่งคึก! โบรกมองครึ่งปีหลังสดใส-ฐานะการเงินแกร่ง ไร้กังวลจ่ายหุ้นกู้,<SYMBOL> JMT <ASPECT> ครึ่งปีหลัง <OPINION> สดใส <POS>
JMT ควง JMART วิ่งคึก! โบรกมองครึ่งปีหลังสดใส-ฐานะการเงินแกร่ง ไร้กังวลจ่ายหุ้นกู้,<SYMBOL> JMT <ASPECT> ฐานะการเงิน <OPINION> แกร่ง <POS>
JMT ควง JMART วิ่งคึก! โบรกมองครึ่งปีหลังสดใส-ฐานะการเงินแกร่ง ไร้กังวลจ่ายหุ้นกู้,<SYMBOL> JMT <ASPECT> จ่ายหุ้นกู้ <OPINION> ไร้กังวล <POS>
JMT ควง JMART วิ่งคึก! โบรกมองครึ่งปีหลังสดใส-ฐานะการเงินแกร่ง ไร้กังวลจ่ายหุ้นกู้,<SYMBOL> JMART <ASPECT> ราคาหุ้น <OPINION> วิ่งคึก <POS>
JMT ควง JMART วิ่งคึก! โบรกมองครึ่งปีหลังสดใส-ฐานะการเงินแกร่ง ไร้กังวลจ่ายหุ้นกู้,<SYMBOL> JMART <ASPECT> ครึ่งปีหลัง <OPINION> สดใส <POS>
JMT ควง JMART วิ่งคึก! โบรกมองครึ่งปีหลังสดใส-ฐานะการเงินแกร่ง ไร้กังวลจ่ายหุ้นกู้,<SYMBOL> JMART <ASPECT> ฐานะการเงิน <OPINION> แกร่ง <POS>
JMT ควง JMART วิ่งคึก! โบรกมองครึ่งปีหลังสดใส-ฐานะการเงินแกร่ง ไร้กังวลจ่ายหุ้นกู้,<SYMBOL> JMART <ASPECT> จ่ายหุ้นกู้ <OPINION> ไร้กังวล <POS>
EA ร่วงต่อ 9% เซ่น “แอสเซทพลัส” ชิงดักเก็บค่าไฟ EA จ่ายหนี้ตั๋วบีอี 1.16 พันล้าน,<SYMBOL> EA <ASPECT> ราคาหุ้น <OPINION> ร่วงต่อ <POS>
IP ดีดบวก 3% หลังย้ายเทรด SET วันแรก ดึงเม็ดเงินกองทุน-ต่างชาติ,<SYMBOL> IP <ASPECT> ราคาหุ้น <OPINION> ดีดบวก <POS>
IP ดีดบวก 3% หลังย้ายเทรด SET วันแรก ดึงเม็ดเงินกองทุน-ต่างชาติ,<SYMBOL> IP <ASPECT> กองทุน <OPINION> ดึงเม็ดเงิน <POS>
โบรกเชียร์ “ซื้อ” BGRIM ราคาเป้าหมาย 37 บาท มองกำไร Q2 โตแตะ 396 ล้านบาท,<SYMBOL> BGRIM <ASPECT> โบรกเชียร์ <OPINION> ซื้อ <POS>
โบรกเชียร์ “ซื้อ” BGRIM ราคาเป้าหมาย 37 บาท มองกำไร Q2 โตแตะ 396 ล้านบาท,<SYMBOL> BGRIM <ASPECT> กำไร <OPINION> โต <POS>
TRP ยัน! “กลุ่มผู้ถือหุ้นใหญ่” กอดหุ้นแน่น ชี้พื้นฐานธุรกิจแกร่ง,<SYMBOL> TRP <ASPECT> กอดหุ้น <OPINION> แน่น <POS>
TRP ยัน! “กลุ่มผู้ถือหุ้นใหญ่” กอดหุ้นแน่น ชี้พื้นฐานธุรกิจแกร่ง,<SYMBOL> TRP <ASPECT> พื้นฐานธุรกิจ <OPINION> แกร่ง <POS>
BPS ลุยขยายฐานลูกค้า B2C เกาะกระแส “กรีนโฮม” ต่อยอดธุรกิจครบวงจร,<SYMBOL> BPS <ASPECT> ฐานลูกค้า <OPINION> ลุยขยาย <POS>
BPS ลุยขยายฐานลูกค้า B2C เกาะกระแส “กรีนโฮม” ต่อยอดธุรกิจครบวงจร,<SYMBOL> BPS <ASPECT> ธุรกิจ <OPINION> ต่อยอด <POS>
โบรกแนะสอย CPN เป้า 83 บาท ลุ้นโกยกำไรไตรมาส 2 ทะลุ 4.3 พันล้าน,<SYMBOL> CPN <ASPECT> โบรกแนะ <OPINION> สอย <POS>
โบรกแนะสอย CPN เป้า 83 บาท ลุ้นโกยกำไรไตรมาส 2 ทะลุ 4.3 พันล้าน,<SYMBOL> CPN <ASPECT> กำไร <OPINION> โกย <POS>
